SIZES,CITY,jong,totwage
2,11,4,9725
1,11,3,16492
1,11,4,13924
2,11,9,11899
2,11,8,29235
1,11,2,15384
2,11,9,66951
2,11,8,32790
2,11,21,66541
2,11,3,8416
2,11,3,9449
3,11,41,206210
3,11,27,72445
4,11,58,275398
1,11,3,47839
2,11,5,25915
2,11,6,92414
1,11,5,7200
1,11,4,7149
1,11,3,3432
2,11,12,16821
2,11,8,9800
1,11,4,6075
3,11,26,30456
2,11,9,11612
2,11,9,13665
2,11,16,24380
2,11,20,28946
3,11,29,40131
3,11,9,15781
3,11,30,40974
4,11,79,215636
5,11,309,986621
4,11,129,338464
4,11,180,194129
2,11,28,96152
2,11,9,22444
1,11,12,20027
2,11,22,31265
1,11,4,5380
2,11,30,82708
3,11,29,56001
3,11,42,135993
6,11,567,2793421
2,11,9,39107
4,11,176,372566
1,11,0,0
1,11,4,5000
1,11,5,9214
1,11,1,4500
1,11,3,2800
3,11,29,81870
3,11,26,92339
4,11,143,504119
5,11,374,1336498
2,11,6,8500
2,11,5,8072
2,11,11,23310
1,11,8,20554
2,11,10,10485
3,11,46,89909
3,11,93,182687
3,11,32,82869
1,11,4,15198
5,11,261,563436
6,11,688,1118319
5,11,250,321428
6,11,962,3014163
2,11,8,27345
1,11,3,6000
2,11,0,0
2,11,1,2434
2,11,0,0
3,11,18,47910
2,11,0,0
3,11,10,51691
2,11,5,9490
4,11,92,448081
4,11,101,460691
6,11,1394,8308320
1,11,4,10069
3,11,27,51281
5,11,279,919397
6,11,1576,5251193
1,11,0,0
2,11,0,0
3,11,3,6451
4,11,47,96137
2,11,12,59009
3,11,29,64599
1,11,3,9398
1,11,2,3250
3,11,23,51817
2,11,7,7500
2,11,14,23392
3,11,25,44923
3,11,15,33111
6,11,422,1833363
6,11,769,1537613
2,11,24,61017
1,11,18,31804
1,11,3,4500
2,11,7,19950
1,11,4,6400
1,11,6,8500
3,11,45,105333
3,11,19,28170
4,11,155,495724
4,11,76,205695
1,11,8,13000
1,11,8,7400
2,11,13,20100
1,11,5,7900
3,11,37,66000
4,11,196,414450
1,11,2,3000
1,11,0,0
3,11,21,32090
1,11,4,7210
2,11,8,29251
1,11,4,21518
2,11,15,50278
6,11,1225,12604519
6,11,586,1367929
3,11,89,958494
1,11,4,11200
5,11,400,950345
4,11,83,232667
2,11,3,4058
1,11,2,3730
1,11,7,8100
1,11,6,5748
3,11,37,105048
4,11,61,136150
6,11,303,985334
1,11,2,6340
1,11,5,13128
1,11,6,9600
1,11,4,15840
1,11,1,1500
1,11,1,1840
1,11,0,0
1,11,3,4500
1,11,2,3308
1,11,5,9916
1,11,4,8697
2,11,3,5123
2,11,2,3700
2,11,2,3800
1,11,7,16186
3,11,16,29671
4,11,17,42227
4,11,74,148601
1,11,12,27998
1,11,4,9049
2,11,7,21200
2,11,22,52912
6,11,531,2750611
1,11,5,7049
1,11,4,6960
1,11,6,8800
3,11,22,30616
2,11,10,21616
3,11,15,43439
2,11,8,13152
4,11,164,468174
2,11,6,11307
3,11,22,50619
5,11,332,1336859
1,11,9,14900
2,11,15,17400
3,11,53,307322
1,11,4,9070
2,11,12,15430
2,11,17,25165
3,11,148,518050
3,11,28,144800
1,11,5,11770
1,11,2,7000
2,11,0,0
2,11,13,29875
3,11,59,94937
3,11,57,107625
3,11,19,77650
4,11,108,328702
1,11,2,2900
1,11,8,9700
2,11,15,31000
2,11,7,10350
3,11,21,58849
4,11,25,78978
4,11,61,113012
5,11,169,324656
2,11,10,23460
1,11,1,900
1,11,3,4000
2,11,8,13000
3,11,26,46934
3,11,20,26400
4,11,59,121970
1,11,8,22816
2,11,10,26101
2,11,10,26373
3,11,29,68243
3,11,52,108758
4,11,210,218357
4,11,172,145778
4,11,135,115437
4,11,110,98005
4,11,171,154575
4,11,110,100019
4,11,193,606843
4,11,156,137228
4,11,149,134477
4,11,138,125512
5,11,314,695950
5,11,351,710669
6,11,466,1039604
1,11,4,5700
3,11,70,154857
1,11,8,11600
1,11,7,13744
2,11,2,5817
3,11,47,246115
4,11,101,537536
1,11,5,17314
2,11,6,17048
2,11,5,18753
2,11,5,37400
1,11,1,4319
2,11,13,68080
3,11,37,179846
2,11,6,61753
1,11,4,5420
1,11,6,9801
1,11,3,5200
2,11,3,6538
2,11,9,13744
2,11,24,26301
2,11,15,23584
2,11,25,33422
2,11,16,15728
3,11,28,73165
3,11,51,92113
3,11,38,44664
3,11,49,59115
3,11,33,35532
3,11,39,52270
1,11,0,0
1,11,11,23500
3,11,51,244498
4,11,120,389541
1,11,1,5925
2,11,12,36444
