SIZES,CITY,jong,totwage,allocate,weight
1,11,62,151272,94,15.7226
1,11,8,12695,94,15.7226
1,11,19,32527,94,15.7226
1,11,5,7640,94,15.7226
1,11,9,18619,94,15.7226
1,11,4,5660,94,15.7226
1,11,10,30580,94,15.7226
1,11,11,19258,94,15.7226
1,11,8,16188,94,15.7226
1,11,25,63383,94,15.7226
1,11,5,13000,94,15.7226
1,11,12,41069,94,15.7226
1,11,6,8636,94,15.7226
1,11,2,7500,94,15.7226
1,11,2,7839,94,15.7226
1,11,10,15898,94,15.7226
1,11,28,64400,94,15.7226
1,11,10,17811,94,15.7226
1,11,2,4230,94,15.7226
1,11,6,7827,94,15.7226
1,11,48,128228,94,15.7226
1,11,8,15886,94,15.7226
1,11,3,7500,94,15.7226
1,11,12,8700,94,15.7226
1,11,43,99505,94,15.7226
1,11,8,36820,94,15.7226
1,11,45,161221,94,15.7226
1,11,3,3530,94,15.7226
1,11,5,7200,94,15.7226
1,11,1,3000,94,15.7226
1,11,11,26383,94,15.7226
1,11,11,18359,94,15.7226
1,11,75,182372,94,15.7226
1,11,6,13200,94,15.7226
1,11,13,57704,94,15.7226
1,11,20,86909,94,15.7226
1,11,25,166369,94,15.7226
1,11,17,42259,94,15.7226
1,11,14,37141,94,15.7226
1,11,83,660774,94,15.7226
1,11,2,6036,94,15.7226
1,11,4,7800,94,15.7226
1,11,6,7700,94,15.7226
1,11,5,10483,94,15.7226
1,11,3,5960,94,15.7226
1,11,14,27583,94,15.7226
1,11,2,8185,94,15.7226
1,11,20,40991,94,15.7226
1,11,7,20450,94,15.7226
1,11,32,78024,94,15.7226
1,11,22,104640,94,15.7226
1,11,4,8102,94,15.7226
1,11,10,27976,94,15.7226
1,11,42,89083,94,15.7226
1,11,45,90027,94,15.7226
1,11,9,16606,94,15.7226
1,11,3,8800,94,15.7226
1,11,2,3037,94,15.7226
1,11,16,32338,94,15.7226
1,11,9,23967,94,15.7226
1,11,52,111874,94,15.7226
1,11,8,18147,94,15.7226
1,11,0,0,94,15.7226
1,11,2,2600,94,15.7226
1,11,16,40250,94,15.7226
1,11,3,6538,94,15.7226
1,11,14,20920,94,15.7226
1,11,3,4300,94,15.7226
1,11,15,30030,94,15.7226
1,11,10,10640,94,15.7226
1,11,10,14392,94,15.7226
1,11,6,11910,94,15.7226
1,11,13,27295,94,15.7226
1,11,12,28853,94,15.7226
1,11,12,20000,94,15.7226
1,11,41,30689,94,15.7226
1,11,10,17283,94,15.7226
1,11,1,1599,94,15.7226
1,11,13,30494,94,15.7226
1,11,28,33802,94,15.7226
1,11,5,5310,94,15.7226
1,11,33,22737,94,15.7226
1,11,8,14043,94,15.7226
1,11,1,4318,94,15.7226
1,11,52,278349,94,15.7226
1,11,4,9725,94,15.7226
1,11,3,16492,94,15.7226
1,11,4,13924,94,15.7226
1,11,9,11899,94,15.7226
1,11,8,29235,94,15.7226
1,11,2,15384,94,15.7226
1,11,9,66951,94,15.7226
1,11,8,32790,94,15.7226
1,11,21,66541,94,15.7226
1,11,3,8416,94,15.7226
1,11,3,9449,94,15.7226
1,11,41,206210,94,15.7226
1,11,27,72445,94,15.7226
1,11,3,47839,94,15.7226
1,11,5,25915,94,15.7226
1,11,6,92414,94,15.7226
1,11,5,7200,94,15.7226
1,11,4,7149,94,15.7226
1,11,3,3432,94,15.7226
1,11,12,16821,94,15.7226
1,11,8,9800,94,15.7226
1,11,4,6075,94,15.7226
1,11,26,30456,94,15.7226
1,11,9,11612,94,15.7226
1,11,9,13665,94,15.7226
1,11,16,24380,94,15.7226
1,11,20,28946,94,15.7226
1,11,29,40131,94,15.7226
1,11,9,15781,94,15.7226
1,11,30,40974,94,15.7226
1,11,28,96152,94,15.7226
1,11,9,22444,94,15.7226
1,11,12,20027,94,15.7226
1,11,22,31265,94,15.7226
1,11,4,5380,94,15.7226
1,11,30,82708,94,15.7226
1,11,29,56001,94,15.7226
1,11,42,135993,94,15.7226
1,11,9,39107,94,15.7226
1,11,0,0,94,15.7226
1,11,4,5000,94,15.7226
1,11,5,9214,94,15.7226
1,11,1,4500,94,15.7226
1,11,3,2800,94,15.7226
1,11,29,81870,94,15.7226
1,11,26,92339,94,15.7226
1,11,6,8500,94,15.7226
1,11,5,8072,94,15.7226
1,11,11,23310,94,15.7226
1,11,8,20554,94,15.7226
1,11,10,10485,94,15.7226
1,11,46,89909,94,15.7226
1,11,93,182687,94,15.7226
1,11,32,82869,94,15.7226
1,11,4,15198,94,15.7226
1,11,8,27345,94,15.7226
1,11,3,6000,94,15.7226
1,11,0,0,94,15.7226
1,11,1,2434,94,15.7226
1,11,0,0,94,15.7226
1,11,18,47910,94,15.7226
1,11,0,0,94,15.7226
1,11,10,51691,94,15.7226
1,11,5,9490,94,15.7226
1,11,4,10069,94,15.7226
1,11,27,51281,94,15.7226
1,11,0,0,94,15.7226
1,11,0,0,94,15.7226
1,11,3,6451,94,15.7226
1,11,12,59009,94,15.7226
1,11,29,64599,94,15.7226
1,11,3,9398,94,15.7226
1,11,2,3250,94,15.7226
1,11,23,51817,94,15.7226
1,11,7,7500,94,15.7226
1,11,14,23392,94,15.7226
1,11,25,44923,94,15.7226
1,11,15,33111,94,15.7226
1,11,24,61017,94,15.7226
1,11,18,31804,94,15.7226
1,11,3,4500,94,15.7226
1,11,7,19950,94,15.7226
